Name,Position,Age,Market Value,Club Name
Serge Gnabry,Left Winger,29,€35.00m,Bayern Munich
Kingsley Coman,Left Winger,28,€35.00m,Bayern Munich
Brahim Díaz,Right Winger,25,€35.00m,Real Madrid
Karim Adeyemi,Left Winger,23,€35.00m,Borussia Dortmund
Mateo Retegui,Centre-Forward,25,€35.00m,Atalanta BC
Nico González,Right Winger,26,€35.00m,Juventus FC
Pedro Gonçalves,Left Winger,26,€32.00m,Sporting CP
Kang-in Lee,Right Winger,23,€30.00m,Paris Saint-Germain
Maximilian Beier,Centre-Forward,22,€30.00m,Borussia Dortmund
Gianluca Scamacca,Centre-Forward,26,€30.00m,Atalanta BC
Randal Kolo Muani,Centre-Forward,26,€30.00m,Juventus FC
Leandro Trossard,Left Winger,30,€30.00m,Arsenal FC
João Félix,Second Striker,25,€30.00m,AC Milan
Geovany Quenda,Right Winger,17,€30.00m,Sporting CP
Eliesse Ben Seghir,Left Winger,19,€30.00m,AS Monaco
Antonio Nusa,Left Winger,19,€28.00m,RB Leipzig
Ferran Torres,Right Winger,24,€28.00m,FC Barcelona
Donyell Malen,Right Winger,26,€28.00m,Aston Villa
Ermedin Demirovic,Centre-Forward,26,€28.00m,VfB Stuttgart
Deniz Undav,Centre-Forward,28,€28.00m,VfB Stuttgart
Trincão,Right Winger,25,€27.00m,Sporting CP
Oscar Bobb,Right Winger,21,€25.00m,Manchester City
Alexander Sørloth,Centre-Forward,29,€25.00m,Atlético de Madrid
Samuel Lino,Left Winger,25,€25.00m,Atlético de Madrid
Kerem Aktürkoğlu,Left Winger,26,€25.00m,SL Benfica
Folarin Balogun,Centre-Forward,23,€25.00m,AS Monaco
Dan Ndoye,Right Winger,24,€25.00m,Bologna FC 1909
Santiago Castro,Centre-Forward,20,€25.00m,Bologna FC 1909
Edon Zhegrova,Right Winger,25,€25.00m,LOSC Lille
Vangelis Pavlidis,Centre-Forward,26,€23.00m,SL Benfica
Federico Chiesa,Right Winger,27,€22.00m,Liverpool FC
Patrik Schick,Centre-Forward,29,€22.00m,Bayer 04 Leverkusen
Amine Adli,Left Winger,24,€22.00m,Bayer 04 Leverkusen
Antoine Griezmann,Centre-Forward,33,€22.00m,Atlético de Madrid
Rodrigo Riquelme,Left Winger,24,€22.00m,Atlético de Madrid
Raheem Sterling,Right Winger,30,€22.00m,Arsenal FC
Viktor Tsygankov,Right Winger,27,€22.00m,Girona FC
Martin Terrier,Left Winger,27,€20.00m,Bayer 04 Leverkusen
Tammy Abraham,Centre-Forward,27,€20.00m,AC Milan
Noa Lang,Left Winger,25,€20.00m,PSV Eindhoven
Marco Asensio,Right Winger,29,€20.00m,Aston Villa
Jamie Leweling,Right Winger,23,€20.00m,VfB Stuttgart
El Bilal Touré,Centre-Forward,23,€20.00m,VfB Stuttgart
Christos Tzolis,Left Winger,23,€18.00m,Club Brugge KV
Samuel Chukwueze,Right Winger,25,€18.00m,AC Milan
Conrad Harder,Centre-Forward,19,€18.00m,Sporting CP
Ricardo Pepi,Centre-Forward,22,€18.00m,PSV Eindhoven
Yáser Asprilla,Right Winger,21,€18.00m,Girona FC
Chris Führich,Left Winger,27,€18.00m,VfB Stuttgart
Karim Konaté,Centre-Forward,20,€18.00m,Red Bull Salzburg
Timothy Weah,Right Winger,24,€17.00m,Juventus FC
Igor Paixão,Left Winger,24,€17.00m,Feyenoord Rotterdam
Ibrahim Osman,Right Winger,20,€16.00m,Feyenoord Rotterdam
Riccardo Orsolini,Right Winger,28,€16.00m,Bologna FC 1909
Robert Lewandowski,Centre-Forward,36,€15.00m,FC Barcelona
Ángel Correa,Right Winger,29,€15.00m,Atlético de Madrid
Zeki Amdouni,Centre-Forward,24,€15.00m,SL Benfica
Geny Catamo,Right Winger,24,€15.00m,Sporting CP
Takumi Minamino,Left Winger,30,€15.00m,AS Monaco
George Ilenikhena,Centre-Forward,18,€15.00m,AS Monaco
Bryan Gil,Left Winger,24,€15.00m,Girona FC
Mika Biereth,Centre-Forward,22,€13.00m,AS Monaco
Giuliano Simeone,Right Winger,22,€12.00m,Atlético de Madrid
Arthur Cabral,Centre-Forward,26,€12.00m,SL Benfica
Kevin,Left Winger,22,€12.00m,Shakhtar Donetsk
Anis Hadj Moussa,Right Winger,23,€12.00m,Feyenoord Rotterdam
Breel Embolo,Centre-Forward,28,€12.00m,AS Monaco
Thijs Dallinga,Centre-Forward,24,€12.00m,Bologna FC 1909
Osame Sahraoui,Left Winger,23,€12.00m,LOSC Lille
Ansu Fati,Left Winger,22,€10.00m,FC Barcelona
Andreas Schjelderup,Left Winger,20,€10.00m,SL Benfica
Gianluca Prestianni,Right Winger,19,€10.00m,SL Benfica
Nicolas Kühn,Right Winger,25,€10.00m,Celtic FC
Krépin Diatta,Right Winger,25,€10.00m,AS Monaco
Fabian Rieder,Right Winger,22,€10.00m,VfB Stuttgart
Romain Del Castillo,Right Winger,28,€10.00m,Stade Brestois 29
Abdallah Sima,Right Winger,23,€10.00m,Stade Brestois 29
Silas,Right Winger,26,€10.00m,Red Star Belgrade
Matias Fernandez-Pardo,Centre-Forward,20,€10.00m,LOSC Lille
Kauã Elias,Centre-Forward,18,€9.00m,Shakhtar Donetsk
Julien Duranville,Left Winger,18,€8.50m,Borussia Dortmund
Mehdi Taremi,Centre-Forward,32,€8.00m,Inter Milan
Samuel Mbangula,Left Winger,21,€8.00m,Juventus FC
Bruma,Left Winger,30,€8.00m,SL Benfica
Ayase Ueda,Centre-Forward,26,€8.00m,Feyenoord Rotterdam
Jota,Left Winger,25,€8.00m,Celtic FC
Daizen Maeda,Left Winger,27,€8.00m,Celtic FC
Arnaut Danjuma,Left Winger,28,€8.00m,Girona FC
Dorgeles Nene,Left Winger,22,€8.00m,Red Bull Salzburg
Moussa Yeo,Right Winger,20,€8.00m,Red Bull Salzburg
Chuba Akpom,Centre-Forward,29,€8.00m,LOSC Lille
Abel Ruiz,Centre-Forward,25,€7.50m,Girona FC
Nick Woltemade,Second Striker,23,€7.50m,VfB Stuttgart
Veljko Birmancevic,Left Winger,26,€7.50m,AC Sparta Prague
Gustaf Nilsson,Centre-Forward,27,€7.00m,Club Brugge KV
Nicolò Cambiaghi,Second Striker,24,€7.00m,Bologna FC 1909
Lukas Haraslin,Left Winger,28,€6.50m,AC Sparta Prague
Thomas Müller,Second Striker,35,€6.00m,Bayern Munich
Thomas Müller,Second Striker,35,€6.00m,Bayern Munich
Jacob Bruun Larsen,Left Winger,26,€6.00m,VfB Stuttgart
Luka Ivanusec,Left Winger,26,€6.00m,Feyenoord Rotterdam
Julián Carranza,Centre-Forward,24,€6.00m,Feyenoord Rotterdam
Yorbe Vertessen,Centre-Forward,24,€6.00m,Red Bull Salzburg
Benja Domínguez,Left Winger,21,€6.00m,Bologna FC 1909
Pau Víctor,Centre-Forward,23,€5.00m,FC Barcelona
Peter Olayinka,Left Winger,29,€5.00m,Red Star Belgrade
Milson,Left Winger,25,€5.00m,Red Star Belgrade
Albion Rrahmani,Centre-Forward,24,€5.00m,AC Sparta Prague
Tiago Gouveia,Right Winger,23,€5.00m,SL Benfica
Biel,Left Winger,23,€5.00m,Sporting CP
Adam Idah,Centre-Forward,24,€5.00m,Celtic FC
Couhaib Driouech,Left Winger,22,€5.00m,PSV Eindhoven
Adam Daghim,Centre-Forward,19,€5.00m,Red Bull Salzburg
Alan Virginius,Left Winger,22,€5.00m,BSC Young Boys
Nino Marcelli,Left Winger,19,€5.00m,Slovan Bratislava
Pedrinho,Right Winger,26,€5.00m,Shakhtar Donetsk
Lassina Traoré,Centre-Forward,24,€5.00m,Shakhtar Donetsk
Ferran Jutglà,Centre-Forward,26,€5.00m,Club Brugge KV
Yussuf Poulsen,Centre-Forward,30,€5.00m,RB Leipzig
Mama Baldé,Centre-Forward,29,€4.50m,Stade Brestois 29
Luka Jović,Centre-Forward,27,€4.00m,AC Milan
Cherif Ndiaye,Centre-Forward,29,€4.00m,Red Star Belgrade
Bruno Duarte,Centre-Forward,28,€4.00m,Red Star Belgrade
Jan Kuchta,Centre-Forward,28,€4.00m,AC Sparta Prague
Petar Ratkov,Centre-Forward,21,€4.00m,Red Bull Salzburg
Bruno Petkovic,Centre-Forward,30,€4.00m,GNK Dinamo Zagreb
Sandro Kulenovic,Centre-Forward,25,€4.00m,GNK Dinamo Zagreb
Arkadiusz Milik,Centre-Forward,30,€4.00m,Juventus FC
David Strelec,Centre-Forward,23,€4.00m,Slovan Bratislava
Michal Skoras,Right Winger,25,€4.00m,Club Brugge KV
Romeo Vermant,Centre-Forward,21,€4.00m,Club Brugge KV
Ludovic Ajorque,Centre-Forward,30,€4.00m,Stade Brestois 29
Ibrahim Salah,Left Winger,23,€4.00m,Stade Brestois 29
Bojan Miovski,Centre-Forward,25,€4.00m,Girona FC
Marko Arnautovic,Centre-Forward,35,€3.50m,Inter Milan
Justin Diehl,Left Winger,20,€3.50m,VfB Stuttgart
Nemanja Radonjić,Left Winger,29,€3.50m,Red Star Belgrade
Esmir Bajraktarević,Right Winger,19,€3.50m,PSV Eindhoven
Wilfried Kanga,Centre-Forward,26,€3.50m,GNK Dinamo Zagreb
Gabriel Vidovic,Second Striker,21,€3.00m,Bayern Munich
Joaquín Correa,Second Striker,30,€3.00m,Inter Milan
Fally Mayulu,Centre-Forward,22,€3.00m,SK Sturm Graz
Victor Olatunji,Centre-Forward,25,€3.00m,AC Sparta Prague
Ángel Di María,Right Winger,37,€3.00m,SL Benfica
Luuk de Jong,Centre-Forward,34,€3.00m,PSV Eindhoven
Edmund Baidoo,Right Winger,19,€3.00m,Red Bull Salzburg
Eguinaldo,Left Winger,20,€3.00m,Shakhtar Donetsk
Newerton,Left Winger,19,€3.00m,Shakhtar Donetsk
